Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un uomo innamorato che apporta un regalo alla sua partner dice frasi e ragioni tante, e lei si difende dicendo la sua."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","I remember (when I was angry) that I ran away from my wife. Oh, how many days of anger did that cost me!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"You were always complaining about him, because he was in love with your woman."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Non sanno già i nomi di coloro che partecipano, perché la donna non li nominava già."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""You faithful wife!  When he moves, he tells me: 'May our Trojan host be recommended to you in my place.'"""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","In Milan, her wickedness was suppressed by a woman who resembled a madwoman at the same time as this lord of the republic, in this way."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","They lamented the injustice of Appio, and recalled the miserable fate of the maiden and the father's necessity."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certo io avevo sempre ardire di ragionare di pace e sempre mi dolpi che non solamente la pace era sfidata."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda si complace di talora per la grande fama, mentre la prima per il coraggio di rendere gli altri matti."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,He went into the field of the Carthaginians and the entire legion followed after him.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non desiderava conoscerlo come un nemico. Ciò è quello che gli diede coraggio al profeta Nathan per riprendere con grande autorevolezza quello re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con loro passarono tra i nemici, perché se alcuno non avesse ardire di questo, sì avevano questo comando."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Reasonably speaking, Iob is interpreted as sorrowful."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.",Chiunque sia il più🏿 dei vostri nemici avrebbe avuto la mia clemenza e la mia protezione.
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Inutile è chiedersi chi ha scritto questo libro, perché si deve ritenerlo come opera dello Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così satura, ciò sarebbe certo molto più incredibile. Certo più agevolmente si può credere quello, dato che l'animo umano è infinito al divino e mutable allo incommutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"Ogni volta che prendono la paga, il cameriere li paga per i loro servizi e poi li mantiene al servizio del signor Lo Papa per contradarre i cavalieri che vengono da Cecilia a Toscana."
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","""Oh messer Achelao, prego che mi dica come persidi."""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Ho molta speranza che il messer Iesù mandi presto a voi Timoteo, perché sto felice."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senso di colpa, il maiale selvatico avanza l'uomo che lo ha visto e il lupo che lo vede."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"Un luogo ne mandano lancioni; la quale cosa i cavalieri l'appellano capo di porco.

Translation: In a certain place, people send [lit. throw] insults; which thing the knights call ""pig's head."""
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Attraversa i reti ai cervi e sai bene in quali valle dimori il ferociouso maiale cinghiare.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.",Oggi spaventate i nemici disperati cervi con varie paure o il maiale picchiare la coda sulla terra dietro lo sguardo loro.
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Si occuparsi della natura delle cose incorpóre, come Dio e le cose divinamente nobili."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","God, for whose sake all things are dispensed and judged."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Quando qualcuno li ordinava, i poeti parlavano delle loro virtue e ammalorivano i loro difetti."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","Solo la cosa che è diretta, onesta e virtuosa è considerata un bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti riempivano di giorno un certo Romano, era incredibile vedere come i Psille combattono il veleno, ché li immolavano tutto di un tratto della loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","The poet says: Oh, how beautiful it is to see clearly with the eyes when you gaze directly ahead or upwards or in any other direction."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Anche se questo è stato colpa tuo, comunque vorresti provare di vedere con i tuoi occhi la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti risposto ora, perché sei il mio servo oppure perché è un momento di riposo o perché non devo rispondere."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì, si comprende che loro hanno dato grande valore perché le hanno lasciate andare via."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Ogni volta che qualcuno guardava di fare e di pensare alla tradizione, il servo, accusato da lui, fu liberato e la donna ricevette una grande quantità di moneta."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Se avesse fatto ciò che avrebbe fatto, sarebbe stato sconcio per lui. Ciò che il servo e il gastaggio di Platone avrebbero meritato di modo equo."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Le sue forze sono massimo, dandogli la regna in questa città in cui nacque."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muta la sua forza per la propria dignità di quel corpo a cui essa si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito",Chi si avvicina a Dio è uno spirito.
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Perché tanto è vero che Lucano lo disse, lo racconta. Ecco, quando l'anima di Pompeo sentiva la chiare di lasciarlo, essa si ricordò prima di tutto."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","È davvero difficile sentire dolore quando l'uso di armi e la fatica vengono rifiutati, con grande disonore come pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,"E non ne ebbe mai in fastido Cristo tali parole d'udere.

(He never had such words to utter.)"
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.",La moltitudine di persone che hai visto e studiato è poca rispetto a quelle cui posso ricordare.
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Hear beautiful stories and smell beautiful flowers, whenever and wherever it is convenient."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò nel giardino dietro al suo hotel, come fosse concentrato sulla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desidero qui dove non posso col corpo andare, con la mente vi vo.

(I desire to be here where I cannot go with my body, but with my mind I fly.)"
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ecco di subito tutta questa folla di uccelli si alzò in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Si rende conto anche delle ragioni del volo degli uccelli e di tutto ciò che sa rendere vera la giunzione.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ecco tanto per la tua superbia, questo uccello volava in alto."
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".",La Gorgona ha la proprietà di volare come un uccello.
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","When in the matriculation they swear by God, and by Christ, and by the Holy Spirit."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità il riso è come, secondo il comando tuo, padre santo Agostino, le battaglie già state nel mondo."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molto più di prima la memoria di loro saranno ricordate al re, perché nella nostra città sempre è stato santo e glorioso il nome reale, e spesso furono compagni del loro nome santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi",Non voglio che tu faccia eccessi per il santo scopo e voto la verginità vedendo le sue lode.
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Santo Agostino scris un libro che si chiama ""Agostino della Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non hai mai ascoltato che nessuno aveva un maestro; ma il dono dello Spirito Santo non può essere limitato da leggi.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Merchants from Florence would travel by ship to reach overseas destinations.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavallo i frutti segni visti non andare a grandezza cadendo, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","Anche cosa è più grave è essere preso o fuggire, e lasciare vincere."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","You are absolutely right. If we hadn't hurried to escape, we would all be dead."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Un uomo arrogante che aveva bisogno di aiuto avrebbe potuto fuggire, ma la vergogna di lasciarsi andare i cavalieri più nobili della sua gente lo teneva."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E la cura di essere felici e amare le persone e il prossimo, fare piccole cose meravigliosi, costruire case e magioni."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Chi non è ancora in grado d'amare l'altro come se stesso già si preoccupa dei giudici di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","If the sparrow, once its wings are wet, does not flee eagerly, nor does the wild boar escape well from the nets when it falls."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","""I opened for him, and those fled. And what need is there, if your heart is closed to your Savior?"""
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Pertanto, visto che tali cose sono così, Catellina, non puoi restare qui a lungo. Dubiti che vada via in qualsiasi luogo e utilizzare la tua vita fuggendo di lì."
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","In modern Italian, the sentence would be:

""Questi due, volendo contra la voglia del Senato, dimorano nel mezzo del tribunato, furono morti dalla plebe, incitandola i padri coscritti."""
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette",I giovani sono responsabili della difesa delle province e della fortuna della battaglia.
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dal monte dei Romani si fece nuovi nemici; contro i quali è conbattuto come diversa ventura: per questo nella prima battaglia, essendo consolo Valerio, MMMD ne morì di Romani."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi siamo stati lasciati e partiti di dovere dalla città, e tutti siamo stati lasciati dalla fama e dalla buona fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"""Please pray to the gods for me; your prayers are valuable: and if you ask who has the fortune to win this battle, I was not vanquished by them."""
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Un' Villa chiamata Vitermina, e se fosse qualcosa di più bello dei principi scherani correnti, si dice che i venti li avremmo allontanati a quel tempo per vederlo, Scipione, stimando che li avrebbe tenuti impegnati, lo ospitò a casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"Against him, against his sisters, against the realm, against the height of his lineage and his family."
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando la nave si arenò e fu gettata nel mare aperto per attraversare un passaggio rischioso, l'aria divenne nebbiosa e pioveggiosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Non uscì mai sulla cima del foso e sullo steccato. Se qualcuno li incontrava da lontano, avrebbe potuto difendersi o fuggire."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","L'occhio dell'intelligenza è più alto. Più di tanto, superata la grandezza dell'università, quella stessa forma elementare viene rivelata dalla vista sottile."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se gli occhi sono organi nobili del corpo umano, la saluto è un elemento nobile della pistola, e come gli occhi illumina l'uomo, la saluto illumina la lettera."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, nati di Lacedemonia, erano stati fondati dai nobili cittadini dei Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulrico era un uomo ricco e nobile: Origentore gli fu chiamato per nome.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Anche se le cose nobili e alte possono abbattere il nemico, non è meno lodevole sapere avere un'ampia e vera compassione."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il fratello, da Phausonia, giovane di Macedonia, stava in un luogo stretto senza guardia, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Un uomo è ricco e gentile, ma lamentarsi che vorrebbe avere un'altra moglie di quella che ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, avendogli mostrato in figura il popolo Gentile, sì gli fu detto: uccidi e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Please release him from that obligation, as he had left it obligated. The kind man agreed, and he set him free, and made him sign a paper."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","Il popolo sarebbe giunto dall'Aquila. Cosa succederebbe a noi per l'Aquila, se non il popolo gentilico congelato dalla freddo del peccato, il quale popolo teneva sotto il giogo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.",Sei già troppo tempo qui con noi. Non lo sopportareò e non lo lascerò.
